year,avg_temp
1743,6.33
1744,10.36
1745,1.43
1746,
1747,
1748,
1749,
1750,9.83
1751,9.75
1752,4.84
1753,8.72
1754,8.49
1755,8.26
1756,9.62
1757,9.15
1758,8.25
1759,9.04
1760,8.99
1761,9.47
1762,8.53
1763,8.62
1764,8.91
1765,8.54
1766,8.87
1767,8.14
1768,8.03
1769,8.46
1770,8.50
1771,7.45
1772,9.13
1773,9.52
1774,8.46
1775,10.10
1776,8.36
1777,8.29
1778,9.43
1779,10.47
1780,8.78
1781,9.98
1782,8.61
1783,9.76
1784,7.67
1785,7.42
1786,7.68
1787,9.27
1788,8.33
1789,8.99
1790,9.09
1791,9.55
1792,8.90
1793,9.18
1794,10.02
1795,8.87
1796,9.01
1797,10.07
1798,9.33
1799,6.72
1800,8.60
1801,9.61
1802,9.08
1803,8.02
1804,8.36
1805,7.20
1806,9.67
1807,9.42
1808,8.15
1809,8.66
1810,8.46
1811,9.93
1812,7.35
1813,8.66
1814,7.46
1815,8.38
1816,7.75
1817,8.92
1818,9.00
1819,9.43
1820,7.86
1821,9.15
1822,10.05
1823,8.26
1824,9.61
1825,9.32
1826,9.35
1827,8.99
1828,8.94
1829,6.52
1830,8.08
1831,8.93
1832,8.34
1833,8.89
1834,10.40
1835,8.81
1836,8.88
1837,8.12
1838,6.98
1839,8.63
1840,7.74
1841,9.06
1842,8.51
1843,9.18
1844,7.85
1845,7.92
1846,9.84
1847,8.24
1848,8.75
1849,8.03
1850,8.20
1851,8.50
1852,9.54
1853,7.55
1854,8.69
1855,7.07
1856,8.50
1857,9.39
1858,7.97
1859,9.60
1860,8.00
1861,8.87
1862,8.91
1863,9.81
1864,6.99
1865,8.88
1866,9.44
1867,8.41
1868,10.24
1869,9.06
1870,7.57
1871,7.08
1872,9.97
1873,9.27
1874,9.08
1875,8.04
1876,8.64
1877,8.95
1878,9.38
1879,7.46
1880,9.08
1881,7.75
1882,9.28
1883,8.54
1884,9.20
1885,8.47
1886,8.55
1887,7.93
1888,7.61
1889,8.34
1890,8.35
1891,8.48
1892,8.28
1893,8.50
1894,8.96
1895,8.28
1896,8.57
1897,8.69
1898,9.42
1899,8.96
1900,9.16
1901,8.58
1902,7.63
1903,9.28
1904,9.15
1905,8.90
1906,9.31
1907,8.52
1908,8.35
1909,8.16
1910,9.33
1911,9.89
1912,8.49
1913,9.41
1914,9.50
1915,8.56
1916,9.30
1917,8.39
1918,9.42
1919,8.00
1920,9.37
1921,9.78
1922,7.76
1923,8.58
1924,8.30
1925,9.32
1926,9.57
1927,8.72
1928,8.92
1929,7.99
1930,9.48
1931,8.35
1932,9.23
1933,8.32
1934,10.69
1935,9.34
1936,9.30
1937,9.41
1938,9.77
1939,9.32
1940,7.04
1941,7.62
1942,7.80
1943,9.67
1944,9.31
1945,9.64
1946,9.12
1947,8.79
1948,9.96
1949,10.04
1950,9.37
1951,9.72
1952,8.61
1953,10.13
1954,8.41
1955,8.36
1956,7.57
1957,9.46
1958,9.05
1959,9.88
1960,9.22
1961,9.81
1962,8.13
1963,8.12
1964,8.84
1965,8.33
1966,9.34
1967,10.08
1968,9.28
1969,8.43
1970,8.43
1971,9.54
1972,8.88
1973,9.24
1974,9.89
1975,10.08
1976,9.15
1977,9.54
1978,8.86
1979,8.53
1980,8.26
1981,9.18
1982,10.08
1983,10.21
1984,8.94
1985,8.46
1986,8.78
1987,8.09
1988,10.02
1989,10.72
1990,10.71
1991,9.36
1992,10.38
1993,9.34
1994,10.43
1995,9.75
1996,7.88
1997,9.73
1998,10.05
1999,10.58
2000,10.96
2001,9.69
2002,10.26
2003,10.07
2004,9.82
2005,9.92
2006,10.55
2007,10.88
2008,10.66
2009,10.06
2010,8.61
2011,10.56
2012,9.96
2013,10.12
