,Year,Berlin,General
0,1750,9.83,8.72
1,1751,9.75,7.98
2,1752,4.84,5.78
3,1753,8.72,8.39
4,1754,8.49,8.47
5,1755,8.26,8.36
6,1756,9.62,8.85
7,1757,9.15,9.02
8,1758,8.25,6.74
9,1759,9.04,7.99
10,1760,8.99,7.19
11,1761,9.47,8.77
12,1762,8.53,8.61
13,1763,8.62,7.5
14,1764,8.91,8.4
15,1765,8.54,8.25
16,1766,8.87,8.41
17,1767,8.14,8.22
18,1768,8.03,6.78
19,1769,8.46,7.69
20,1770,8.5,7.69
21,1771,7.45,7.85
22,1772,9.13,8.19
23,1773,9.52,8.22
24,1774,8.46,8.77
25,1775,10.1,9.18
26,1776,8.36,8.3
27,1777,8.29,8.26
28,1778,9.43,8.54
29,1779,10.47,8.98
30,1780,8.78,9.43
31,1781,9.98,8.1
32,1782,8.61,7.9
33,1783,9.76,7.68
34,1784,7.67,7.86
35,1785,7.42,7.36
36,1786,7.68,8.26
37,1787,9.27,8.03
38,1788,8.33,8.45
39,1789,8.99,8.33
40,1790,9.09,7.98
41,1791,9.55,8.23
42,1792,8.9,8.09
43,1793,9.18,8.23
44,1794,10.02,8.53
45,1795,8.87,8.35
46,1796,9.01,8.27
47,1797,10.07,8.51
48,1798,9.33,8.67
49,1799,6.72,8.51
50,1800,8.6,8.48
51,1801,9.61,8.59
52,1802,9.08,8.58
53,1803,8.02,8.5
54,1804,8.36,8.84
55,1805,7.2,8.56
56,1806,9.67,8.43
57,1807,9.42,8.28
58,1808,8.15,7.63
59,1809,8.66,7.08
60,1810,8.46,6.92
61,1811,9.93,6.86
62,1812,7.35,7.05
63,1813,8.66,7.74
64,1814,7.46,7.59
65,1815,8.38,7.24
66,1816,7.75,6.94
67,1817,8.92,6.98
68,1818,9.0,7.83
69,1819,9.43,7.37
70,1820,7.86,7.62
71,1821,9.15,8.09
72,1822,10.05,8.19
73,1823,8.26,7.72
74,1824,9.61,8.55
75,1825,9.32,8.39
76,1826,9.35,8.36
77,1827,8.99,8.81
78,1828,8.94,8.17
79,1829,6.52,7.94
80,1830,8.08,8.52
81,1831,8.93,7.64
82,1832,8.34,7.45
83,1833,8.89,8.01
84,1834,10.4,8.15
85,1835,8.81,7.39
86,1836,8.88,7.7
87,1837,8.12,7.38
88,1838,6.98,7.51
89,1839,8.63,7.63
90,1840,7.74,7.8
91,1841,9.06,7.69
92,1842,8.51,8.02
93,1843,9.18,8.17
94,1844,7.85,7.65
95,1845,7.92,7.85
96,1846,9.84,8.55
97,1847,8.24,8.09
98,1848,8.75,7.98
99,1849,8.03,7.98
100,1850,8.2,7.9
101,1851,8.5,8.18
102,1852,9.54,8.1
103,1853,7.55,8.04
104,1854,8.69,8.21
105,1855,7.07,8.11
106,1856,8.5,8.0
107,1857,9.39,7.76
108,1858,7.97,8.1
109,1859,9.6,8.25
110,1860,8.0,7.96
111,1861,8.87,7.85
112,1862,8.91,7.56
113,1863,9.81,8.11
114,1864,6.99,7.98
115,1865,8.88,8.18
116,1866,9.44,8.29
117,1867,8.41,8.44
118,1868,10.24,8.25
119,1869,9.06,8.43
120,1870,7.57,8.2
121,1871,7.08,8.12
122,1872,9.97,8.19
123,1873,9.27,8.35
124,1874,9.08,8.43
125,1875,8.04,7.86
126,1876,8.64,8.08
127,1877,8.95,8.54
128,1878,9.38,8.83
129,1879,7.46,8.17
130,1880,9.08,8.12
131,1881,7.75,8.27
132,1882,9.28,8.13
133,1883,8.54,7.98
134,1884,9.2,7.77
135,1885,8.47,7.92
136,1886,8.55,7.95
137,1887,7.93,7.91
138,1888,7.61,8.09
139,1889,8.34,8.32
140,1890,8.35,7.97
141,1891,8.48,8.02
142,1892,8.28,8.07
143,1893,8.5,8.06
144,1894,8.96,8.16
145,1895,8.28,8.15
146,1896,8.57,8.21
147,1897,8.69,8.29
148,1898,9.42,8.18
149,1899,8.96,8.4
150,1900,9.16,8.5
151,1901,8.58,8.54
152,1902,7.63,8.3
153,1903,9.28,8.22
154,1904,9.15,8.09
155,1905,8.9,8.23
156,1906,9.31,8.38
157,1907,8.52,7.95
158,1908,8.35,8.19
159,1909,8.16,8.18
160,1910,9.33,8.22
161,1911,9.89,8.18
162,1912,8.49,8.17
163,1913,9.41,8.3
164,1914,9.5,8.59
165,1915,8.56,8.59
166,1916,9.3,8.23
167,1917,8.39,8.02
168,1918,9.42,8.13
169,1919,8.0,8.38
170,1920,9.37,8.36
171,1921,9.78,8.57
172,1922,7.76,8.41
173,1923,8.58,8.42
174,1924,8.3,8.51
175,1925,9.32,8.53
176,1926,9.57,8.73
177,1927,8.72,8.52
178,1928,8.92,8.63
179,1929,7.99,8.24
180,1930,9.48,8.63
181,1931,8.35,8.72
182,1932,9.23,8.71
183,1933,8.32,8.34
184,1934,10.69,8.63
185,1935,9.34,8.52
186,1936,9.3,8.55
187,1937,9.41,8.7
188,1938,9.77,8.86
189,1939,9.32,8.76
190,1940,7.04,8.76
191,1941,7.62,8.77
192,1942,7.8,8.73
193,1943,9.67,8.76
194,1944,9.31,8.85
195,1945,9.64,8.58
196,1946,9.12,8.68
197,1947,8.79,8.8
198,1948,9.96,8.75
199,1949,10.04,8.59
200,1950,9.37,8.37
201,1951,9.72,8.63
202,1952,8.61,8.64
203,1953,10.13,8.87
204,1954,8.41,8.56
205,1955,8.36,8.63
206,1956,7.57,8.28
207,1957,9.46,8.73
208,1958,9.05,8.77
209,1959,9.88,8.73
210,1960,9.22,8.58
211,1961,9.81,8.8
212,1962,8.13,8.75
213,1963,8.12,8.86
214,1964,8.84,8.41
215,1965,8.33,8.53
216,1966,9.34,8.6
217,1967,10.08,8.7
218,1968,9.28,8.52
219,1969,8.43,8.6
220,1970,8.43,8.7
221,1971,9.54,8.6
222,1972,8.88,8.5
223,1973,9.24,8.95
224,1974,9.89,8.47
225,1975,10.08,8.74
226,1976,9.15,8.35
227,1977,9.54,8.85
228,1978,8.86,8.69
229,1979,8.53,8.73
230,1980,8.26,8.98
231,1981,9.18,9.17
232,1982,10.08,8.64
233,1983,10.21,9.03
234,1984,8.94,8.69
235,1985,8.46,8.66
236,1986,8.78,8.83
237,1987,8.09,8.99
238,1988,10.02,9.2
239,1989,10.72,8.92
240,1990,10.71,9.23
241,1991,9.36,9.18
242,1992,10.38,8.84
243,1993,9.34,8.87
244,1994,10.43,9.04
245,1995,9.75,9.35
246,1996,7.88,9.04
247,1997,9.73,9.2
248,1998,10.05,9.52
249,1999,10.58,9.29
250,2000,10.96,9.2
251,2001,9.69,9.41
252,2002,10.26,9.57
253,2003,10.07,9.53
254,2004,9.82,9.32
255,2005,9.92,9.7
256,2006,10.55,9.53
257,2007,10.88,9.73
258,2008,10.66,9.43
259,2009,10.06,9.51
260,2010,8.61,9.7
261,2011,10.56,9.52
262,2012,9.96,9.51
263,2013,10.12,9.61
